,Year-Quarter,Year,Quarter,Ticker,Security,Sector,Sub_Sector,Price,Stock_Price_Prev_Quarter,Stock_Price_Change_Ratio,EPS,PE_Ratio,Total_Debt,Total_Equity,Debt_to_Equity_Ratio,Net_Income,Return_on_Equity,Dividends,Dividend_Yield_Percent,Total_Return,Total_Return_Annualized,Date_Added,Founded,Dividend_Payer,Industry_PE,PE_vs_Industry,Year-Quarter_After_3Y,Year-Quarter_After_5Y,PE_ratio_After_3Y,PE_ratio_After_5Y,Price_After_3Y,Price_After_5Y,Price_Change_After_3Y,Price_Change_After_5Y,Dividends_After_3Y,Dividends_After_5Y,Dividend_Yield_After_3Y,Dividend_Yield_After_5Y,Total_Return_After_3Y,Total_Return_After_5Y,CAGR_3Y,CAGR_5Y,PE_Category,D/E_Category,ROE_Segment,Value_Investing,Investment_Type
3429,2017-04-01,2017,2,D,Dominion Energy,Utilities,Multi-Utilities,55.9,56.06,-0.0028540849090260556,3.46,16.16,56700000000.0,17210000000.0,3.3,2170000000.0,0.1286999999999999,0.755,0.013467713164466643,0.010613628255440587,0.04313520280293526,2016-11-30,1983,1,16.512916666666666,0.9786278418409832,2020-Q2,2022-Q2,91.62,26.78,67.8,71.5,0.2128801431127012,0.2790697674418605,10.417,15.843,0.186350626118068,0.28341681574239713,0.3992307692307693,0.5624865831842578,11.848401646001738,9.336019624883063,2_Fairly Valued,Highly Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3430,2017-07-01,2017,3,D,Dominion Energy,Utilities,Multi-Utilities,56.65,55.9,0.013416815742397059,3.39,16.71,56890000000.0,18500000000.0,3.08,2140000000.0,0.123,0.755,0.013506261180679786,0.026923076923076845,0.11212000652112986,2016-11-30,1983,1,16.170833333333334,1.0333419221850038,2020-Q3,2022-Q3,0.0,22.37,66.71,62.42,0.17758164165931145,0.10185348631950575,10.601999999999999,15.756,0.18714916151809355,0.27812886142983234,0.364730803177405,0.37998234774933803,10.921482312241459,6.653400332535009,2_Fairly Valued,Highly Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3431,2017-10-01,2017,4,D,Dominion Energy,Utilities,Multi-Utilities,60.24,56.65,0.06337157987643427,4.91,12.27,57220000000.0,19370000000.0,2.95,3000000000.0,0.166,0.77,0.013592233009708738,0.07696381288614301,0.3452544680825529,2016-11-30,1983,1,18.90125,0.6491634151180476,2020-Q4,2022-Q4,0.0,51.37,64.07,55.99,0.06357901726427606,-0.07055112881806114,10.462,15.654,0.17367197875166002,0.2598605577689243,0.23725099601593613,0.18930942895086322,7.354257043769019,3.52827371213964,1_Moderately Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3432,2018-01-01,2018,1,D,Dominion Energy,Utilities,Multi-Utilities,50.69,60.24,-0.1585325365205844,4.67,10.85,57310000000.0,20040000000.0,2.86,2870000000.0,0.1528,0.835,0.013861221779548471,-0.14467131474103595,-0.46478022757651516,2016-11-30,1983,1,20.392083333333332,0.5320692262111523,2021-Q1,2023-Q1,62.2,36.13,65.31,51.67,0.28841980666798195,0.019333201814953682,10.257,15.487,0.20234760307753008,0.30552377194712965,0.49076740974551214,0.3248569737620832,14.236081241384802,5.787364893381963,1_Moderately Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3433,2018-04-01,2018,2,D,Dominion Energy,Utilities,Multi-Utilities,51.92,50.69,0.024265141053462225,4.74,10.95,58040000000.0,20040000000.0,2.9,2930000000.0,0.1503,0.835,0.016472677056618663,0.040737818110080884,0.17318187457312995,2016-11-30,1983,1,23.707083333333333,0.46188726997908497,2021-Q2,2023-Q2,22.86,17.97,63.78,48.52,0.22842835130970718,-0.06548536209553157,10.052,15.32,0.1936055469953775,0.2950693374422188,0.42203389830508464,0.22958397534668729,12.452724783313363,4.22013680511546,1_Moderately Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3434,2018-07-01,2018,3,D,Dominion Energy,Utilities,Multi-Utilities,54.14,51.92,0.04275808936825887,5.01,10.81,58660000000.0,20430000000.0,2.87,3120000000.0,0.1561,0.835,0.016082434514637905,0.058840523882896775,0.2569621982692336,2016-11-30,1983,1,15.589583333333332,0.6934117332620607,2021-Q3,2023-Q3,20.13,21.64,63.81,42.42,0.1786110084964907,-0.21647580347247874,9.847000000000001,15.153,0.1818803103066125,0.27988548208348724,0.36049131880310314,0.06340967861100855,10.80650538300536,1.2371992376629004,1_Moderately Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3435,2018-10-01,2018,4,D,Dominion Energy,Utilities,Multi-Utilities,55.66,54.14,0.028075360177318043,3.73,14.92,55870000000.0,22050000000.0,2.53,2450000000.0,0.1186,0.835,0.015422977465829331,0.043498337643147374,0.18567877665595933,2016-11-30,1983,1,15.295416666666668,0.9754556103407883,2021-Q4,2023-Q4,17.4,19.44,69.25,45.29,0.24416097736255837,-0.18630973769313686,9.642,14.986,0.1732303269852677,0.2692418253683076,0.4173913043478261,0.08293208767517068,12.33021445492508,1.6062082072574757,1_Moderately Undervalued,Highly Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3436,2019-01-01,2019,1,D,Dominion Energy,Utilities,Multi-Utilities,60.45,55.66,0.08605821056413943,2.1,28.79,72460000000.0,27600000000.0,2.63,1260000000.0,0.0561,0.918,0.01649299317283507,0.10255120373697449,0.4777299345295185,2016-11-30,1983,1,29.878749999999997,0.9635610592812619,2022-Q1,2024-Q1,21.09,24.78,75.52,48.06,0.24929693961952015,-0.20496277915632755,9.392,14.736,0.15536807278742762,0.24377171215880894,0.40466501240694774,0.03880893300248145,11.993011160601252,0.7644027567417,3_Expensive,Highly Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3437,2019-04-01,2019,2,D,Dominion Energy,Utilities,Multi-Utilities,61.7,60.45,0.02067824648469818,1.46,42.26,72440000000.0,28380000000.0,2.55,870000000.0,0.0353,0.918,0.015186104218362282,0.03586435070306046,0.1513610894849311,2016-11-30,1983,1,22.686666666666667,1.8627681457537466,2022-Q2,2024-Q2,26.78,25.2,71.5,47.88,0.1588330632090762,-0.22398703403565645,9.142,14.485999999999999,0.14816855753646677,0.23478119935170175,0.3070016207455428,0.010794165316045268,9.334873978688552,0.2149571858620858,4_Highly Overpriced,Highly Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3438,2019-07-01,2019,3,D,Dominion Energy,Utilities,Multi-Utilities,65.44,61.7,0.06061588330632084,1.33,49.2,72400000000.0,29960000000.0,2.42,990000000.0,0.0366999999999999,0.918,0.014878444084278767,0.07549432739059961,0.33792724096291016,2016-11-30,1983,1,18.183333333333334,2.705774518790101,2022-Q3,2024-Q3,22.37,20.05,62.42,57.14,-0.04614914425427863,-0.12683374083129584,8.892,14.236,0.135880195599022,0.21754278728606358,0.08973105134474335,0.09070904645476774,2.905781542456065,1.7517255810453936,4_Highly Overpriced,Highly Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3460,2014-04-01,2014,2,DAL,Delta Air Lines,Industrials,Passenger Airlines,34.16,30.52,0.11926605504587151,12.67,2.7,39990000000.0,12200000000.0,3.28,10860000000.0,1.2196,0.06,0.001965923984272608,0.12123197903014411,0.5804541590804122,2013-09-11,1929,1,18.459767441860464,0.1462640311425224,2017-Q2,2019-Q2,9.8,8.17,49.29,54.73,0.4429156908665106,0.6021662763466042,1.712,4.332,0.05011709601873537,0.12681498829039814,0.4930327868852462,0.7289812646370024,14.29391651709242,11.572729428408124,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3461,2014-07-01,2014,3,DAL,Delta Air Lines,Industrials,Passenger Airlines,31.97,34.16,-0.06411007025761117,11.5,2.78,39640000000.0,12300000000.0,3.22,9850000000.0,0.8245999999999999,0.09,0.0026346604215456678,-0.0614754098360655,-0.22414131858034092,2013-09-11,1929,1,19.205454545454543,0.14475054435293006,2017-Q3,2019-Q3,8.94,7.87,44.51,55.9,0.3922427275570848,0.7485142320925868,1.927,4.6450000000000005,0.06027525805442603,0.14529246168282767,0.4525179856115107,0.8938066937754146,13.250598605708142,13.623229613277843,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3462,2014-10-01,2014,4,DAL,Delta Air Lines,Industrials,Passenger Airlines,43.6,31.97,0.3637785423834845,0.75,58.13,45190000000.0,8810000000.0,5.13,660000000.0,0.0586,0.09,0.0028151391929934315,0.3665936815764779,2.4878486712393544,2013-09-11,1929,1,17.760454545454547,3.2730018171115605,2017-Q4,2019-Q4,10.53,7.81,52.0,57.18,0.19266055045871555,0.3114678899082568,2.142,4.958,0.049128440366972476,0.11371559633027523,0.24178899082568805,0.42518348623853197,7.485348378518242,7.343105689558027,4_Highly Overpriced,Extremely Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3463,2015-01-01,2015,1,DAL,Delta Air Lines,Industrials,Passenger Airlines,39.93,43.6,-0.08417431192660552,1.4,28.52,44710000000.0,9050000000.0,4.94,1190000000.0,0.1125999999999999,0.09,0.002064220183486238,-0.08211009174311928,-0.29015687552059943,2013-09-11,1929,1,16.490000000000002,1.7295330503335353,2018-Q1,2020-Q1,10.47,5.21,51.19,28.09,0.2819934886050588,-0.29651890808915604,2.357,5.271000000000001,0.0590282995241673,0.13200601051840724,0.3410217881292261,-0.16451289757074872,10.275392279441476,-3.530961492144513,3_Expensive,Highly Leveraged,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3464,2015-04-01,2015,2,DAL,Delta Air Lines,Industrials,Passenger Airlines,36.56,39.93,-0.08439769596794389,2.29,15.96,43220000000.0,9560000000.0,4.52,1880000000.0,0.1889,0.09,0.002253944402704733,-0.08214375156523915,-0.29026099205502875,2013-09-11,1929,1,17.015454545454546,0.937970828658439,2018-Q2,2020-Q2,9.94,0.0,46.54,27.61,0.27297592997811804,-0.2448030634573305,2.572,5.181,0.07035010940919037,0.14171225382932165,0.34332603938730855,-0.10309080962800887,10.338517480640697,-2.152508809774112,2_Fairly Valued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3465,2015-07-01,2015,3,DAL,Delta Air Lines,Industrials,Passenger Airlines,40.05,36.56,0.09545951859956214,3.52,11.38,43300000000.0,10350000000.0,4.19,2830000000.0,0.3002,0.135,0.003692560175054705,0.09915207877461685,0.4595908844393397,2013-09-11,1929,1,15.3775,0.7400422695496668,2018-Q3,2020-Q3,11.05,0.0,54.7,30.11,0.36579275905118624,-0.2481897627965043,2.787,5.046,0.06958801498127341,0.1259925093632959,0.43538077403245956,-0.12219725343320842,12.803448068327427,-2.572987159132145,1_Moderately Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3466,2015-10-01,2015,4,DAL,Delta Air Lines,Industrials,Passenger Airlines,45.36,40.05,0.13258426966292136,5.63,8.06,42280000000.0,10850000000.0,3.9,4530000000.0,0.4548,0.135,0.003370786516853933,0.1359550561797753,0.6651163904728876,2013-09-11,1929,1,15.837272727272728,0.5089260088399059,2018-Q4,2020-Q4,8.42,0.0,47.49,39.59,0.04695767195767209,-0.1272045855379188,3.002,4.9110000000000005,0.06618165784832451,0.10826719576719578,0.11313932980599661,-0.018937389770723012,3.6374000281506724,-0.3816498305139193,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3467,2016-01-01,2016,1,DAL,Delta Air Lines,Industrials,Passenger Airlines,43.7,45.36,-0.03659611992945322,5.94,7.36,42090000000.0,11250000000.0,3.74,4730000000.0,0.45,0.135,0.0029761904761904765,-0.03361992945326274,-0.12784864467592605,2013-09-11,1929,1,17.713409090909092,0.4155044329539768,2019-Q1,2021-Q1,8.31,0.0,49.51,47.53,0.13295194508009134,0.08764302059496565,3.217,4.776000000000001,0.07361556064073227,0.10929061784897026,0.2065675057208236,0.19693363844393597,6.459365888648194,3.66067070880689,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3468,2016-04-01,2016,2,DAL,Delta Air Lines,Industrials,Passenger Airlines,32.81,43.7,-0.24919908466819218,6.14,5.34,39820000000.0,11810000000.0,3.37,4790000000.0,0.4327,0.135,0.003089244851258581,-0.2461098398169336,-0.6769778528050407,2013-09-11,1929,1,17.676363636363636,0.3020983336761983,2019-Q2,2021-Q2,8.17,0.0,54.73,42.59,0.6680889972569337,0.2980798537031393,3.432,4.641,0.10460225540993598,0.14145077720207253,0.7726912526668697,0.4395306309052118,21.02572712213768,7.558362575627808,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3469,2016-07-01,2016,3,DAL,Delta Air Lines,Industrials,Passenger Airlines,35.64,32.81,0.08625419079548902,6.18,5.77,38440000000.0,12510000000.0,3.07,4730000000.0,0.4077,0.203,0.006187138067662298,0.09244132886315132,0.4242705272545777,2013-09-11,1929,1,18.372954545454544,0.3140485644660507,2019-Q3,2021-Q3,7.87,0.0,55.9,41.95,0.5684624017957352,0.17704826038159371,3.632,4.438000000000001,0.10190796857463524,0.12452300785634121,0.6703703703703703,0.301571268237935,18.65086970069736,5.412858570262569,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3470,2016-10-01,2016,4,DAL,Delta Air Lines,Industrials,Passenger Airlines,44.75,35.64,0.25561167227833903,5.77,7.75,38970000000.0,12290000000.0,3.17,4200000000.0,0.3506,0.203,0.00569584736251403,0.2613075196408531,1.5309521799436894,2013-09-11,1929,1,18.33090909090909,0.4227831779408848,2019-Q4,2021-Q4,7.81,91.6,57.18,38.47,0.27776536312849154,-0.14033519553072626,3.8320000000000003,4.235,0.08563128491620113,0.09463687150837989,0.36339664804469285,-0.045698324022346415,10.88532506802693,-0.9311464374893941,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3471,2017-01-01,2017,1,DAL,Delta Air Lines,Industrials,Passenger Airlines,41.97,44.75,-0.06212290502793294,5.38,7.8,38510000000.0,12950000000.0,2.98,3810000000.0,0.3076,0.203,0.004536312849162011,-0.05758659217877093,-0.21120195605765335,2013-09-11,1929,1,18.67818181818182,0.4175995327557675,2020-Q1,2022-Q1,5.21,49.31,28.09,38.96,-0.33071241362878245,-0.07171789373361925,4.032,4.032,0.0960686204431737,0.0960686204431737,-0.2346437931856088,0.024350726709554626,-8.528064314104212,0.48233901812031466,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3472,2017-04-01,2017,2,DAL,Delta Air Lines,Industrials,Passenger Airlines,49.29,41.97,0.17441029306647615,5.03,9.8,38340000000.0,13480000000.0,2.84,3450000000.0,0.2694,0.203,0.004836788182034787,0.17924708124851094,0.9338342155751449,2013-09-11,1929,1,32.27886363636364,0.3036042442634147,2020-Q2,2022-Q2,0.0,31.0,27.61,28.52,-0.4398458105092311,-0.42138364779874216,3.829,3.8289999999999997,0.0776831000202881,0.07768310002028808,-0.362162710488943,-0.34370054777845416,-13.919793165408944,-8.077800326450069,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3473,2017-07-01,2017,3,DAL,Delta Air Lines,Industrials,Passenger Airlines,44.51,49.29,-0.09697707445729364,4.98,8.94,37930000000.0,14000000000.0,2.71,3350000000.0,0.2542,0.305,0.0061878677216473926,-0.09078920673564625,-0.31662619034587036,2013-09-11,1929,1,20.920227272727274,0.4273376136622885,2020-Q3,2022-Q3,0.0,251.13,30.11,27.62,-0.3235228038643001,-0.3794652886991686,3.524,3.524,0.07917321950123568,0.07917321950123568,-0.24434958436306442,-0.30029206919793294,-8.916374596212274,-6.892780079358529,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3474,2017-10-01,2017,4,DAL,Delta Air Lines,Industrials,Passenger Airlines,52.0,44.51,0.168276791732195,4.94,10.53,41140000000.0,12530000000.0,3.28,3210000000.0,0.2421,0.305,0.006852392720736913,0.1751291844529319,0.9069637987205597,2013-09-11,1929,1,23.850227272727274,0.4415052267464575,2020-Q4,2022-Q4,0.0,15.86,39.59,32.35,-0.2386538461538461,-0.3778846153846154,3.2190000000000003,3.219,0.061903846153846157,0.06190384615384615,-0.17674999999999996,-0.31598076923076923,-6.2774895412256555,-7.314101925452343,1_Moderately Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3475,2018-01-01,2018,1,DAL,Delta Air Lines,Industrials,Passenger Airlines,51.19,52.0,-0.015576923076923155,4.89,10.47,41520000000.0,12560000000.0,3.31,3200000000.0,0.2435999999999999,0.305,0.005865384615384615,-0.009711538461538539,-0.03828392481063703,2013-09-11,1929,1,24.06311111111111,0.4351058328100182,2021-Q1,2023-Q1,0.0,11.65,47.53,34.38,-0.07149833951943729,-0.32838445008790773,2.914,2.9139999999999997,0.05692518069935535,0.056925180699355336,-0.014573158820081922,-0.27145926938855236,-0.4881509972242237,-6.137791759059796,1_Moderately Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3476,2018-04-01,2018,2,DAL,Delta Air Lines,Industrials,Passenger Airlines,46.54,51.19,-0.09083805430748193,4.68,9.94,42940000000.0,12860000000.0,3.34,3050000000.0,0.2349,0.305,0.005958194959953116,-0.08487985934752881,-0.29868608664932195,2013-09-11,1929,1,18.83866666666667,0.5276381909547738,2021-Q2,2023-Q2,0.0,10.09,42.59,46.8,-0.08487322733132785,0.005586592178770999,2.609,2.609,0.05605930382466695,0.05605930382466695,-0.028813923506660788,0.06164589600343784,-0.9698395980036412,1.2035943161059715,0_Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3477,2018-07-01,2018,3,DAL,Delta Air Lines,Industrials,Passenger Airlines,54.7,46.54,0.17533304684142692,4.95,11.05,41300000000.0,13700000000.0,3.01,3210000000.0,0.2489,0.35,0.0075204125483455085,0.18285345938977243,0.9575991935313133,2013-09-11,1929,1,19.154222222222224,0.5768963036870316,2021-Q3,2023-Q3,0.0,6.91,41.95,36.5,-0.23308957952468,-0.3327239488117002,2.2590000000000003,2.359,0.04129798903107861,0.04312614259597806,-0.1917915904936014,-0.2895978062157222,-6.85180256984742,-6.6098960546192576,1_Moderately Undervalued,Highly Leveraged,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
3478,2018-10-01,2018,4,DAL,Delta Air Lines,Industrials,Passenger Airlines,47.49,54.7,-0.13180987202925043,5.64,8.42,46580000000.0,13690000000.0,3.4,3940000000.0,0.2981,0.35,0.00639853747714808,-0.12541133455210235,-0.4149198304314975,2013-09-11,1929,1,15.478,0.543997932549425,2021-Q4,2023-Q4,91.6,5.57,38.47,39.8,-0.18993472309960002,-0.16192882712149936,1.909,2.109,0.040197936407664774,0.04440934933670246,-0.14973678669193524,-0.11751947778479688,-5.263399502023924,-2.46937086201251,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3479,2019-01-01,2019,1,DAL,Delta Air Lines,Industrials,Passenger Airlines,49.51,47.49,0.04253527058328066,5.96,8.31,48930000000.0,12910000000.0,3.79,4110000000.000001,0.3091,0.35,0.0073699726258159605,0.04990524320909662,0.21506753807123813,2013-09-11,1929,1,16.654444444444444,0.49896590833277743,2022-Q1,2024-Q1,49.31,6.1,38.96,47.47,-0.2130882649969703,-0.0412037972126843,1.559,1.859,0.03148858816400727,0.037547970107049085,-0.18159967683296308,-0.0036558271056351677,-6.4618885035579225,-0.07322369781904703,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3480,2019-04-01,2019,2,DAL,Delta Air Lines,Industrials,Passenger Airlines,54.73,49.51,0.10543324580892754,6.7,8.17,48560000000.0,13960000000.0,3.48,4520000000.0,0.3328,0.35,0.007069278933548778,0.11250252474247632,0.5318068984081068,2013-09-11,1929,1,18.546666666666667,0.44051042415528396,2022-Q2,2024-Q2,31.0,6.78,28.52,47.14,-0.4788964005116024,-0.13868079663804123,1.209,1.6090000000000002,0.022090261282660336,0.029398867166088073,-0.4568061392289421,-0.10928192947195314,-18.407241208543347,-2.287966254301199,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3481,2019-07-01,2019,3,DAL,Delta Air Lines,Industrials,Passenger Airlines,55.9,54.73,0.0213776722090262,7.1,7.87,48150000000.0,15070000000.0,3.2,4690000000.0,0.3371,0.403,0.007363420427553445,0.028741092636579646,0.12001632170621734,2013-09-11,1929,1,17.548222222222222,0.44847847835171656,2022-Q3,2024-Q3,251.13,7.03,27.62,50.64,-0.5059033989266547,-0.09409660107334528,0.806,1.356,0.014418604651162792,0.024257602862254028,-0.49148479427549185,-0.06983899821109119,-20.18191304274949,-1.4375193436991007,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3502,2018-04-01,2018,2,DD,DuPont,Materials,Specialty Chemicals,83.71,0.0,0.0,3.03,27.63,87490000000.0,99880000000.0,0.88,1820000000.0,0.0178,0.540843,inf,inf,inf,2019-04-02,2017 (1802),1,20.92529411764706,1.3204115480842211,2021-Q2,2023-Q2,7.29,7.19,72.8,69.74,-0.1303309043125075,-0.16688567674113008,4.318825,6.958825,0.051592700991518345,0.08313015171425159,-0.07873820332098902,-0.08375552502687844,-2.6966735834969002,-1.734227244179909,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3503,2018-07-01,2018,3,DD,DuPont,Materials,Specialty Chemicals,82.11,83.71,-0.019113606498626146,2.7,30.41,84710000000.0,99740000000.0,0.85,1810000000.0,0.0179,0.540843,0.006460912674710309,-0.012652693823915836,-0.04965830801310411,2019-04-02,2017 (1802),1,16.421764705882353,1.851810724648064,2021-Q3,2023-Q3,5.92,7.56,64.2,73.15,-0.21812203142126407,-0.1091219096334185,4.0779819999999996,6.777982000000001,0.04966486420655218,0.08254758251126539,-0.16845716721471182,-0.02657432712215324,-5.963842460376734,-0.5372278915226514,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3504,2018-10-01,2018,4,DD,DuPont,Materials,Specialty Chemicals,68.28,82.11,-0.16843259042747527,4.95,13.79,91960000000.0,95900000000.0,0.96,3850000000.0,0.0385999999999999,0.540843,0.006586810376324442,-0.16184578005115083,-0.5064902425263882,2019-04-02,2017 (1802),1,18.852941176470587,0.7314508580343214,2021-Q4,2023-Q4,7.0,81.53,76.57,75.82,0.12141183362624486,0.11042765084944328,3.837139,6.597138999999999,0.05619711482132396,0.09661890743995312,0.1776089484475687,0.20704655828939655,5.600757225005681,3.8352479769508507,1_Moderately Undervalued,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3505,2019-01-01,2019,1,DD,DuPont,Materials,Specialty Chemicals,68.54,68.28,0.003807850029291293,4.23,16.2,95690000000.0,94100000000.0,1.02,3260000000.0,0.0335,0.540843,0.007920957820738136,0.01172880785002943,0.04774709381641795,2019-04-02,2017 (1802),1,24.02352941176471,0.6743388834476003,2022-Q1,2024-Q1,23.42,92.66,70.04,75.98,0.02188503063904279,0.10854975196965277,3.626296,6.436296,0.05290773271082579,0.09390569010796614,0.07479276334986862,0.20245544207761879,2.4333975684636577,3.7561380791304666,2_Fairly Valued,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3506,2019-04-01,2019,2,DD,DuPont,Materials,Specialty Chemicals,67.88,68.54,-0.009629413481179072,1.19,57.03,28270000000.0,42580000000.0,0.66,920000000.0,0.0111,0.296296,0.004322964692150569,-0.005306448789028503,-0.021057441655119025,2019-04-02,2017 (1802),1,24.64764705882353,2.3138111262261045,2022-Q2,2024-Q2,14.6,52.48,53.16,79.77,-0.21685327047731295,0.17516205067766655,3.66,6.52,0.05391868002357102,0.09605185621685328,-0.16293459045374192,0.27121390689451963,-5.7561255784274294,4.916483793150328,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3507,2019-07-01,2019,3,DD,DuPont,Materials,Specialty Chemicals,64.75,67.88,-0.046110783736004635,1.06,61.07,28210000000.0,41910000000.0,0.67,790000000.0,0.0116,0.3,0.00441956393635828,-0.04169121979964636,-0.15662277483266718,2019-04-02,2017 (1802),1,21.60058823529412,2.8272378203207973,2022-Q3,2024-Q3,13.39,46.69,48.47,88.71,-0.25142857142857145,0.37003861003860994,3.69,6.6000000000000005,0.05698841698841699,0.10193050193050193,-0.1944401544401545,0.47196911196911184,-6.953665299494283,8.038796909738743,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3529,2014-04-01,2014,2,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,76.62,70.16,0.09207525655644244,10.08,7.6,50200000000.0,10670000000.0,4.71,3470000000.0,0.3484,0.6,0.00855188141391106,0.1006271379703535,0.4674417390123635,1957-03-04,1837,1,18.459767441860464,0.41170616173450747,2017-Q2,2019-Q2,17.93,14.93,99.5,153.21,0.29861654920386305,0.999608457321848,7.199999999999999,12.66,0.09397024275646045,0.16523101018010963,0.39258679196032364,1.1648394675019578,11.67109052341393,16.703838167948803,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3530,2014-07-01,2014,3,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,70.33,76.62,-0.08209344818585229,9.65,7.29,50920000000.0,10830000000.0,4.7,3320000000.0,0.3159,0.6,0.00783085356303837,-0.07426259462281393,-0.2655685791681821,1957-03-04,1837,1,19.205454545454543,0.37957966486793526,2017-Q3,2019-Q3,19.25,14.96,114.91,153.94,0.6338689037395138,1.1888241148869616,7.199999999999999,12.82,0.10237452011943693,0.18228352054599745,0.7362434238589506,1.371107635432959,20.190517362781947,18.847555603959563,0_Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3531,2014-10-01,2014,4,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,71.2,70.33,0.012370254514431966,8.92,7.98,52270000000.0,9070000000.0,5.77,3160000000.0,0.3097,0.6,0.008531210009953077,0.020901464524385044,0.08626380126275168,1957-03-04,1837,1,17.760454545454547,0.4493128247127172,2017-Q4,2019-Q4,18.01,13.04,119.61,162.57,0.6799157303370786,1.2832865168539325,7.199999999999999,12.979999999999999,0.10112359550561796,0.18230337078651682,0.7810393258426966,1.4655898876404492,21.215410423880133,19.77996119021752,0_Undervalued,Extremely Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
3532,2015-01-01,2015,1,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,71.38,71.2,0.0025280898876403057,7.93,9.0,50040000000.0,8250000000.0,6.07,2870000000.0,0.2954,0.6,0.008426966292134831,0.010955056179775137,0.04454557766553702,1957-03-04,1837,1,16.490000000000002,0.5457853244390539,2018-Q1,2020-Q1,34.41,14.05,150.37,148.69,1.1066124964976187,1.0830764920145701,7.199999999999999,13.139999999999999,0.10086859064163631,0.18408517792098628,1.207481087139255,1.2671616699355561,30.20639968486767,17.78676608587397,0_Undervalued,Extremely Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
